date,open,high,low,close,adj_close,volume,mms_15,mms_30,mms_compra,mms_venda,mme_50,mme_200,mme_200_adj_120,mme_200_adj_80,prox_mme_adj,bb_upper,bb_central,bb_lower,bb_band_dist,bb_sobrecomprada,bb_sobrevendida,ifr,ifr_sobrecomprada,ifr_sobrevendida,macd,macd_sinal,macd_hist,macd_alta,macd_baixa,%k,%D,dema,momentum,roc
2008-01-02,23.535587310791016,23.63534927368164,21.98927116394043,22.030839920043945,12.691261291503906,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2008-01-03,22.11397361755371,22.31765556335449,21.490459442138672,21.57775115966797,12.432503700256348,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2008-01-04,21.78143310546875,21.968486785888672,21.137134552001957,21.324188232421875,12.28639316558838,5694095.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2008-01-07,21.42810821533203,21.993427276611328,21.415637969970703,21.71908187866211,12.513928413391112,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2008-01-08,22.11397361755371,22.52549362182617,21.931076049804688,22.05162239074707,12.705531120300291,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2008-01-09,21.98927116394043,22.018367767333984,21.349130630493164,21.860410690307617,12.595358848571776,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2008-01-10,21.947702407836918,22.446514129638672,21.823001861572266,22.155542373657227,12.765403747558594,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2008-01-11,22.005897521972656,22.25946044921875,21.739864349365234,21.798059463500977,12.55943775177002,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2008-01-14,21.823001861572266,22.238676071166992,21.70661163330078,22.018367767333984,12.686370849609377,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,56.13538198524633,54.896937929117804,,,
2008-01-15,21.81884384155273,21.823001861572266,20.991647720336918,21.074783325195312,12.142704963684082,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,33.58903755018388,48.087199977716494,,,
2008-01-16,20.659107208251957,20.866945266723636,20.12288475036621,20.70067405700684,11.927160263061523,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,29.156827777894577,39.62708243777494,,-1.3301658630371058,-6.037744670038226
2008-01-17,20.704832077026367,20.95008087158203,19.78618621826172,19.83606719970703,11.428999900817873,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,10.865641041401224,24.537168789826566,,-1.7416839599609375,-8.071665796278182
2008-01-18,20.118728637695312,20.783809661865234,19.495214462280277,19.9067325592041,11.46971035003662,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,13.96085649186719,17.99444177038767,,-1.4174556732177734,-6.647172955745317
2008-01-21,18.709585189819336,19.45364570617676,18.709585189819336,19.204240798950195,11.064959526062012,0.0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,10.968209418923324,11.931568984063917,,-2.514841079711914,-11.578947460862132
2008-01-22,19.129419326782227,20.156139373779297,18.70542907714844,19.204240798950195,11.064959526062012,0.0,21.097506841023762,,0,0,,,,,,,,,,0,0,24.085387392289995,0,1,,,,0,0,17.703353485316576,14.210806465369034,,-2.847381591796875,-12.912345138794167
2008-01-23,18.99640274047852,19.0338134765625,18.06528854370117,18.76778030395508,10.813478469848633,0.0,20.879969533284505,,0,0,,,,,,,,,,0,0,22.174261541465732,0,1,,,,0,0,20.820552042135148,16.497371648791688,,-3.0926303863525355,-14.14717422360109
2008-01-24,19.74461936950684,20.372291564941406,19.208396911621094,20.20602035522461,11.6421480178833,0.0,20.78852081298828,,0,0,,,,,,,,,,0,0,39.27375359109349,0,0,,,,0,0,41.77332528790766,26.7657436051198,,-1.9495220184326172,-8.799252058710982
2008-01-28,19.93167304992676,20.47205352783203,19.86932182312012,20.40970230102539,11.75950050354004,0.0,20.727555084228516,,0,0,,,,,,,,,,0,0,41.24267251674085,0,0,,,,0,0,66.83569294576817,43.143190091936994,,-1.388357162475586,-6.369177792180414
2008-01-29,20.49283790588379,20.654949188232425,19.71136474609375,19.95245742797852,11.496057510375977,0.0,20.60978012084961,,0,0,,,,,,,,,,0,0,38.24485362675477,0,0,,,,0,0,83.00957886643587,63.87286570003724,,-2.065910339355465,-9.382667966970782
2008-01-30,19.78618621826172,19.948301315307617,19.283218383789062,19.948301315307617,11.493661880493164,0.0,20.469558715820312,,0,0,,,,,,22.942771320791856,20.787343215942382,18.63191511109291,4.422845150102978,0,0,38.21766133250168,0,0,,,,0,0,80.99842312509476,76.94789831243294,,-1.1264820098876953,-5.345165321538392
2008-01-31,19.53678131103516,19.71552276611328,19.0379695892334,19.424549102783203,11.191884994506836,0.0,20.307167943318685,,0,0,,,,,,22.811124203435405,20.657028675079346,18.502933146723286,4.420110760833507,0,0,34.854448829743745,0,0,,,,0,0,56.49781396896654,73.50193865349907,,-1.2761249542236364,-6.164654110824419
2008-02-01,19.549251556396484,19.698894500732425,18.597352981567383,19.358041763305664,11.153566360473633,0.0,20.12066790262858,,0,0,,,,,,22.727506903768937,20.54604320526123,18.364579506753525,4.476269061057107,0,0,34.439989802715345,0,0,,,,0,0,44.53000324786833,60.675413447309886,,-0.4780254364013672,-2.409880101678763
2008-02-06,18.397829055786133,18.83013153076172,18.24818420410156,18.83013153076172,10.851642608642578,0.0,19.922806040445963,,0,0,,,,,,22.69386084706599,20.42134037017822,18.14881989329045,4.663113627914012,0,0,31.262246876751266,0,0,,,,0,0,28.35231192519795,43.12670971401095,,-1.0766010284423828,-5.408225710776449
2008-02-07,18.501747131347656,18.78856468200684,18.12348175048828,18.514217376708984,10.669575691223145,0.0,19.689196014404295,,0,0,,,,,,22.59609923736883,20.261097145080566,17.926095052792302,4.791323197522569,0,0,29.507624429329233,0,1,,,,0,0,27.520572303096916,33.467629158721074,,-0.6900234222412109,-3.593078369851155
2008-02-08,18.61397933959961,18.83013153076172,18.37288856506348,18.37704467773437,10.590524673461914,0.0,19.509346771240235,,0,0,,,,,,22.39813196264695,20.07736825942993,17.756604556212913,4.762106639611308,0,0,28.75300155841341,0,1,,,,0,0,20.506282190187594,25.45972213949416,,-0.8271961212158239,-4.307361743042937
2008-02-11,18.572412490844727,19.17930030822754,18.5599422454834,19.1211051940918,11.019315719604492,0.0,19.404042180379232,,0,0,,,,,,22.14447783999895,19.94040298461914,17.736328129239332,4.522666175989841,0,0,38.01319812084713,0,0,,,,0,0,33.55459115735435,27.193815216879628,,0.35332489013671875,1.8826141632863225
2008-02-12,19.37051010131836,20.19770622253418,19.37051010131836,19.74461936950684,11.37864875793457,0.0,19.397945658365884,,0,0,,,,,,21.77590341182583,19.81985683441162,17.86381025699741,4.013722888194496,0,0,44.52060691283538,0,0,,,,0,0,52.46927004712814,35.510047798223376,,-0.4614009857177699,-2.2834827324048845
2008-02-13,19.78618621826172,20.438798904418945,19.78618621826172,20.28499984741211,11.69007682800293,0.0,19.423163477579752,,0,0,,,,,,21.494586438974387,19.74420385360718,17.99382126823997,3.5917092809072786,0,0,49.47149709746798,0,0,,,,0,0,78.27940773103815,54.76775631184023,,-0.12470245361328125,-0.6109959458204139
2008-02-14,20.49283790588379,20.534404754638672,19.694738388061523,19.79034423828125,11.40500545501709,0.0,19.462237040201824,,0,0,,,,,,21.040019715289375,19.63280267715454,18.225585639019705,2.887548435623427,0,0,45.47133773672962,0,0,,,,0,0,79.03018801273738,69.9262885969679,,-0.16211318969726918,-0.8124973591971951
2008-02-15,19.640701293945312,19.95245742797852,19.358041763305664,19.910890579223636,11.474459648132324,0.0,19.509347025553385,20.303426933288574,0,0,,,,,,20.826134414954062,19.574608039855956,18.32308166475785,2.568077935828603,0,0,46.60442481538772,0,0,,,,0,0,75.78510231689353,77.6982326868897,,-0.03741073608398082,-0.18753845499251964
2008-02-18,20.210176467895508,20.49283790588379,20.160295486450195,20.368133544921875,11.73796844482422,3344189.0,19.61603724161784,20.24800338745117,0,0,,,,,,20.756957263426827,19.55798101425171,18.35900476507659,2.460247352635944,0,0,50.782140226236535,0,0,,,,0,0,73.28787972220694,76.03439001727929,,0.9435844421386719,4.857690323444741
2008-02-19,20.47205352783203,20.530248641967773,19.960771560668945,20.035593032836918,11.546332359313965,0.0,19.604675420125325,20.196598116556803,0,0,,,,,,20.779279807662636,19.5679573059082,18.356634804153767,2.485581328387231,0,0,47.849917292709,0,0,,,,0,0,70.62794932000263,73.23364378636772,,0.6775512695312536,3.500102323446752
2008-02-20,19.765403747558597,20.49283790588379,19.736305236816406,20.447111129760746,11.783488273620604,0.0,19.607169342041015,20.167362213134766,0,0,,,,,,20.85830939239987,19.594976234436036,18.3316430764722,2.5923049430846934,0,0,51.57618496256814,0,0,,,,0,0,78.68071442970974,74.19884782397311,,1.616979598999027,8.587192268718136
2008-02-21,20.69236183166504,20.783809661865234,20.28915405273437,20.372291564941406,11.740367889404297,0.0,19.63515828450521,20.122469202677408,0,0,,,,,,20.94669862126118,19.653378772735596,18.360058924210012,2.6538363338188935,0,0,50.86456955407193,0,0,-0.2998563202431086,-0.6269576462301897,0.3271013259870811,1,0,73.77119313249524,74.35995229406922,,1.8580741882324219,10.03593157856022
2008-02-22,20.70067405700684,20.866945266723636,20.31825256347656,20.866945266723636,12.025431632995604,0.0,19.69640121459961,20.08297996520996,0,0,,,,,,21.114641026657445,19.736513996124266,18.358386965591087,2.8278569995006855,0,0,55.259644896491956,0,0,-0.20560566897870203,-0.5426872507798921,0.3370815818011901,0,0,87.90548460195969,80.11913072138823,,2.489900588989265,13.548971734318238
2008-02-25,20.966707229614254,21.36575698852539,20.74224281311035,21.29924964904785,12.274565696716309,0.0,19.821381251017254,20.06427459716797,0,0,,,,,,21.324556003152964,19.863087463378907,18.40161892360485,2.9988701681234584,0,0,58.733725422927165,0,0,-0.09493366191686547,-0.4531365330072868,0.3582028710904213,0,0,89.01850429445018,83.56506067630171,,2.178144454956051,11.391310454319715
2008-02-26,21.15791893005371,22.19710922241211,20.999961853027344,22.13475799560547,12.756058692932127,13730398.0,20.006495666503906,20.063581784566242,0,0,,,,,,21.722268459451595,19.95952434539795,18.196780231344302,3.6170746025690255,1,0,64.47513726437197,0,0,0.05950727908964737,-0.35060777058789994,0.4101150496775473,0,0,97.79488255736582,91.57295715125859,,2.3901386260986293,12.105265649181906
