date,open,high,low,close,adj_close,volume,mms_15,mms_30,mms_compra,mms_venda,mme_50,mme_200,mme_200_adj_120,mme_200_adj_80,prox_mme_adj,bb_upper,bb_central,bb_lower,bb_band_dist,bb_sobrecomprada,bb_sobrevendida,ifr,ifr_sobrecomprada,ifr_sobrevendida,macd,macd_sinal,macd_hist,macd_alta,macd_baixa,%k,%D,dema,momentum,roc
2000-12-21,2.815505027770996,2.988534927368164,2.815174102783203,2.9605519771575928,1.805328607559204,74224,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-12-22,2.930747985839844,2.930747985839844,2.814842939376831,2.832228899002075,1.7270779609680176,23312,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-12-25,2.832228899002075,2.832228899002075,2.832228899002075,2.832228899002075,1.7270779609680176,0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-12-26,2.816663980484009,2.834712028503418,2.790005922317505,2.8314011096954346,1.726573824882507,7851,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-12-27,2.8810739517211914,2.9274370670318604,2.8314011096954346,2.9274370670318604,1.7851355075836182,26996,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-12-28,2.910878896713257,3.1294429302215576,2.8643510341644287,3.063210964202881,1.867928504943848,77425,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-12-29,3.063210964202881,3.063210964202881,3.063210964202881,3.063210964202881,1.867928504943848,0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2001-01-01,3.063210964202881,3.063210964202881,3.063210964202881,3.063210964202881,1.867928504943848,0,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2001-01-02,2.9060769081115723,2.9802560806274414,2.9059109687805176,2.963864088058472,1.8073489665985107,47010786,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,68.47327580625863,75.23144974546979,,,
2001-01-03,2.963864088058472,3.146001100540161,2.947305917739868,3.079935073852539,1.8781275749206543,67061636,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,67.1584501685747,72.03980878344441,,,
2001-01-04,3.0961620807647705,3.146001100540161,3.0961620807647705,3.1294429302215576,1.9083179235458372,82788266,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,71.36366750885779,68.9984644945637,,0.16889095306396484,5.704711633744597
2001-01-05,3.0466530323028564,3.228790044784546,3.0466530323028564,3.145834922790528,1.9183135032653809,81568305,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,81.3180856399565,73.280067772463,,0.3136060237884526,11.07276406574873
2001-01-08,3.112884998321533,3.146001100540161,3.0797688961029053,3.0797688961029053,1.8780269622802732,32069280,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,73.75239198111757,75.47804837664397,,0.24753999710083008,8.74011267902992
2001-01-09,3.112884998321533,3.17911696434021,3.0797688961029053,3.0930159091949463,1.8861043453216555,121066062,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,59.97290957491587,71.68112906532998,,0.2616147994995117,9.239764673527763
