date,open,high,low,close,adj_close,volume,mms_15,mms_30,mms_compra,mms_venda,mme_50,mme_200,mme_200_adj_120,mme_200_adj_80,prox_mme_adj,bb_upper,bb_central,bb_lower,bb_band_dist,bb_sobrecomprada,bb_sobrevendida,ifr,ifr_sobrecomprada,ifr_sobrevendida,macd,macd_sinal,macd_hist,macd_alta,macd_baixa,%k,%D,dema,momentum,roc
2000-01-03,3.5,3.5425000190734863,3.5,3.5,1.7074943780899048,585600,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-04,3.466665983200073,3.474165916442871,3.416666030883789,3.416666030883789,1.6668390035629272,782400,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-05,3.375,3.416666030883789,3.375,3.416666030883789,1.6668390035629272,1876800,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-06,3.416666030883789,3.5,3.416666030883789,3.416666030883789,1.6668390035629272,792000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-07,3.4583330154418945,3.559165954589844,3.4583330154418945,3.541666030883789,1.7278212308883667,5347200,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-10,3.75,3.8333330154418954,3.75,3.8333330154418954,1.870112895965576,2980800,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-11,3.8333330154418954,3.858333110809326,3.808332920074463,3.841665983200073,1.874178171157837,326400,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-12,3.849999904632568,3.916666030883789,3.841665983200073,3.8791658878326416,1.8924728631973269,5068800,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,,,,,
2000-01-13,4.008333206176758,4.008333206176758,4.008333206176758,4.008333206176758,1.955487966537476,120000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,96.35053285755264,96.12806295233851,,,
2000-01-14,4.017499923706055,4.083333015441895,4.017499923706055,4.083333015441895,1.9920768737792969,3484800,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,97.49999046325682,96.73368539278738,,,
2000-01-17,4.083333015441895,4.166666030883789,4.083333015441895,4.166666030883789,2.0327308177948,230400,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,99.99999999999999,97.95017444026983,,0.6666660308837891,19.047600882393965
2000-01-18,4.125,4.125,4.025000095367432,4.041666030883789,1.9717493057250977,3724800,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,87.17948906050134,94.89315984125273,,0.625,18.292686330783447
2000-01-19,4.041666030883789,4.050833225250244,4.0,4.025000095367432,1.9636191129684448,1872000,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,58.84619387428618,82.00856097826251,,0.6083340644836426,17.804902761487785
2000-01-20,4.0,4.0,4.0,4.0,1.951422095298767,748800,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,25.512860540952847,57.179514491913466,,0.5833339691162109,17.073192517014025
2000-01-21,4.0,4.0,3.916666030883789,3.916666030883789,1.9107674360275269,144000,3.8058328946431477,,0,0,,,,,,,,,,0,0,69.23072860088136,0,0,,,,0,0,5.000038147118161,29.786364187452406,,0.375,10.588237194866789
